Location,foods_1,foods_2,foods_3,foods_4,foods_5,foods_6,atmospheres_1,atmospheres_2,atmospheres_3,atmospheres_4,atmospheres_5,atmospheres_6,services_1,services_2,services_3,services_4,services_5,services_6,scenery_1,scenery_2,scenery_3,scenery_4,scenery_5,scenery_6,attractions_1,attractions_2,attractions_3,attractions_4,attractions_5,attractions_6
British Museum,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Getty Center,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Guggenheim,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Hermitage,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Louvre,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Metropolitan Museum,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
National Gallery,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Rijksmuseum,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Smithsonian,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Uffizi Gallery,café,restaurant,snacks,coffee,pastries,sandwiches,quiet,peaceful,cultured,elegant,refined,intellectual,guided tours,audio guides,information desk,gift shop,coat check,wheelchair access,galleries,architecture,halls,exhibits,lighting,space,exhibitions,artifacts,masterpieces,collections,galleries,artwork
Angkor Wat,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Golden Temple,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
Mecca,offerings,vegetarian,traditional,kosher,halal,sacred,spiritual,serene,reverent,sacred,peaceful,mystical,guided tours,prayer rooms,visitor center,dress code,information,facilities,architecture,gardens,domes,towers,sculptures,decorations,ceremonies,rituals,architecture,history,art,worship
